SYMBOL,DATE,CLOSE,SMA_7D,SMA_30D
AVGO,2025-09-29,327.899993896,337.13143049,324.994952393
AVGO,2025-09-30,329.910003662,335.068572998,325.817384847
AVGO,2025-10-01,333.390014648,334.297145299,327.116866048
AVGO,2025-10-02,338.179992676,334.188572475,328.700465902
AVGO,2025-10-03,338.369995117,334.054286412,330.342643229
AVGO,2025-10-06,335.489990234,333.967141288,331.742405192
AVGO,2025-10-07,336.410003662,334.235713414,333.165180461
AVGO,2025-10-08,345.5,336.75,334.765171305
AVGO,2025-10-09,345.019989014,338.908569336,336.274622599
AVGO,2025-10-10,324.630004883,337.657139369,336.824887085
AVGO,2025-10-13,356.700012207,340.302856445,338.81884257
AVGO,2025-10-14,344.130004883,341.125714983,340.365513102
AVGO,2025-10-15,351.329986572,343.388571603,342.014085897
AVGO,2025-10-16,354.149993896,345.922855922,343.633204142
AVGO,2025-10-17,349.329986572,346.469996861,344.133630371
AVGO,2025-10-20,349.239990234,347.072854178,344.27300415
AVGO,2025-10-21,342.660003662,349.64856829,344.491865031
AVGO,2025-10-22,340.299987793,347.305707659,343.537268066
AVGO,2025-10-23,344.290008545,347.328565325,343.046438599
AVGO,2025-10-24,354.130004883,347.728567941,342.875623576
AVGO,2025-10-27,362.049987793,348.857138497,342.828381348
AVGO,2025-10-28,372.970001221,352.234283447,343.281239827
AVGO,2025-10-29,385.980010986,357.48285784,344.627976481
AVGO,2025-10-30,376.470001221,362.312857492,345.684999593
AVGO,2025-10-31,369.630004883,366.502859933,346.527666219
AVGO,2025-11-03,362.549987793,369.111428397,347.319665527
AVGO,2025-11-04,351.940002441,368.798570905,347.752998861
AVGO,2025-11-05,358.980010986,368.36000279,348.408665975
AVGO,2025-11-06,355.589996338,365.87714495,349.058332316
AVGO,2025-11-07,349.429992676,360.655713763,349.554998779
AVGO,2025-11-10,358.390014648,358.072858538,350.571332804
AVGO,2025-11-11,351.959991455,355.548570905,351.306332397
AVGO,2025-11-12,355.220001221,354.501429967,352.033998617
AVGO,2025-11-13,339.980010986,352.792859759,352.093999227
AVGO,2025-11-14,342.459991455,350.432856968,352.230332438
NVDA,2025-03-03,114.03515625,,
NVDA,2025-03-04,115.964736938,,
NVDA,2025-03-05,117.274452209,,
NVDA,2025-03-06,110.545921326,,
NVDA,2025-03-07,112.665458679,,
NVDA,2025-03-10,106.956695557,,
NVDA,2025-03-11,108.736312866,112.311247689,
NVDA,2025-03-12,115.725440979,112.552716936,
NVDA,2025-03-13,115.565460205,112.495677403,
NVDA,2025-03-14,121.654693604,113.121426174,
NVDA,2025-03-17,119.514961243,114.40271759,
NVDA,2025-03-18,115.415473938,114.795576913,
NVDA,2025-03-19,117.505210876,116.302507673,
NVDA,2025-03-20,118.515083313,117.69947488,
NVDA,2025-03-21,117.685188293,117.979438782,
NVDA,2025-03-24,121.394729614,118.812191554,
NVDA,2025-03-25,120.674819946,118.672209603,
NVDA,2025-03-26,113.745689392,117.848027911,
NVDA,2025-03-27,111.415985107,117.276672363,
NVDA,2025-03-28,109.656204224,116.155385699,
NVDA,2025-03-31,108.366363525,114.705568586,
NVDA,2025-04-01,110.136138916,113.627132961,
NVDA,2025-04-02,110.406105042,112.05732945,
NVDA,2025-04-03,101.787193298,109.359097072,
NVDA,2025-04-04,94.29813385,106.580874852,
NVDA,2025-04-07,97.627708435,104.611121041,
NVDA,2025-04-08,96.287887573,102.70136152,
NVDA,2025-04-09,114.315612793,103.551254272,
NVDA,2025-04-10,107.556465149,103.182729449,
NVDA,2025-04-11,110.916038513,103.255577087,111.878177389
NVDA,2025-04-14,110.69606781,104.528273446,111.766874441
NVDA,2025-04-15,112.185882568,107.08366612,111.640912628
NVDA,2025-04-16,104.476852417,108.062115261,111.214325968
NVDA,2025-04-17,101.477226257,108.803449358,110.912036133
NVDA,2025-04-21,96.89781189,106.315192086,110.386447906
NVDA,2025-04-22,98.877555847,105.0753479,110.11714325
NVDA,2025-04-23,102.69707489,103.90121024,109.915835317
NVDA,2025-04-24,106.416603088,103.289858137,109.605540721
NVDA,2025-04-25,110.996040344,103.119880676,109.453226725
NVDA,2025-04-28,108.716316223,103.725518363,109.021947479
NVDA,2025-04-29,109.006278992,104.801097325,108.671658071
NVDA,2025-04-30,108.906295776,106.516595023,108.454685465
NVDA,2025-05-01,111.595954895,108.333509173,108.257710266
NVDA,2025-05-02,114.485595703,110.017583575,108.123394012
NVDA,2025-05-05,113.805679321,111.073165894,107.994077047
NVDA,2025-05-06,113.525718689,111.434548514,107.731776683
NVDA,2025-05-07,117.045272827,112.624399458,107.610791779
NVDA,2025-05-08,117.355239868,113.817108154,107.731110128
NVDA,2025-05-09,116.635322571,114.921254839,107.905088043
NVDA,2025-05-12,122.984527588,116.548193795,108.349365489
NVDA,2025-05-13,129.913650513,118.752201625,109.067608388
NVDA,2025-05-14,135.322967529,121.826099941,109.907169342
NVDA,2025-05-15,134.813034058,124.867144993,110.720733643
NVDA,2025-05-16,135.382965088,127.486815316,111.840592702
NVDA,2025-05-19,135.552947998,130.086487906,113.215753174
NVDA,2025-05-20,134.363082886,132.619025094,114.440265656
NVDA,2025-05-21,131.783416748,133.87600926,115.623449961
NVDA,2025-05-22,132.813293457,134.290243966,116.240039317
NVDA,2025-05-23,131.273483276,133.711746216,117.030606588
NVDA,2025-05-27,135.482940674,133.807447161,117.849503326
NVDA,2025-05-28,134.793045044,133.723172869,118.652735901
NVDA,2025-05-29,139.17250061,134.240251814,119.552289836
NVDA,2025-05-30,135.113006592,134.347383772,120.573494975
NVDA,2025-06-02,137.362716675,135.144426618,121.769677989
NVDA,2025-06-03,141.202224731,136.342845372,123.24649175
NVDA,2025-06-04,141.902145386,137.861225673,124.680644735
NVDA,2025-06-05,139.972396851,138.502576556,125.923155467
NVDA,2025-06-06,141.702163696,139.489593506,127.09934082
NVDA,2025-06-09,142.612060547,139.980959211,128.15320816
NVDA,2025-06-10,143.941894531,141.242228917,129.327394104
NVDA,2025-06-11,142.82194519,142.022118705,130.454582977
NVDA,2025-06-12,144.991821289,142.563489641,131.657433828
NVDA,2025-06-13,141.961990356,142.572038923,132.66963501
NVDA,2025-06-16,144.681838989,143.244816371,133.676176453
NVDA,2025-06-17,144.111862183,143.589059012,134.686382548
NVDA,2025-06-18,145.471786499,143.997591291,135.751251475
NVDA,2025-06-20,143.841888428,143.983304705,136.644471995
NVDA,2025-06-23,144.161865234,144.174721854,137.538026174
NVDA,2025-06-24,147.891647339,144.588982718,138.579903666
NVDA,2025-06-25,154.301300049,146.351741246,139.623796082
NVDA,2025-06-26,155.011260986,147.82737296,140.460383097
NVDA,2025-06-27,157.741104126,149.774407523,141.207654317
NVDA,2025-06-30,157.98109436,151.561451503,141.979922994
NVDA,2025-07-01,153.291366577,152.911376953,142.57686971
NVDA,2025-07-02,157.241134644,154.779844012,143.299809265
NVDA,2025-07-03,159.331008911,156.414038522,144.132073466
NVDA,2025-07-07,158.231079102,156.975435529,145.013662211
NVDA,2025-07-08,159.990982056,157.686824254,145.919585164
NVDA,2025-07-09,162.870819092,158.419640677,146.972829692
NVDA,2025-07-10,164.090759277,159.292449951,147.926423645
NVDA,2025-07-11,164.910705566,160.952355521,148.930345662
NVDA,2025-07-14,164.060760498,161.926587786,149.759954325
NVDA,2025-07-15,170.690368652,163.549353463,150.945866394
NVDA,2025-07-16,171.360336304,165.424961635,152.079120382
NVDA,2025-07-17,172.990249634,167.28199986,153.138721212
NVDA,2025-07-18,172.400283813,168.643351964,154.155325826
NVDA,2025-07-21,171.370346069,169.683292934,155.201924133
NVDA,2025-07-22,167.020584106,169.984704154,156.04587148
NVDA,2025-07-23,170.770370483,170.943219866,156.984481812
NVDA,2025-07-24,173.730209351,171.377482823,157.977425639
NVDA,2025-07-25,173.490219116,171.681751796,158.999701436
NVDA,2025-07-28,176.740036011,172.217435564,160.05797526
NVDA,2025-07-29,175.500091553,172.660265241,161.175911967
NVDA,2025-07-30,179.259902954,173.787344796,162.328514099
NVDA,2025-07-31,177.859970093,175.335828509,163.453451029
NVDA,2025-08-01,173.710205078,175.755804879,164.394731649
NVDA,2025-08-04,179.989852905,176.650039673,165.599663798
NVDA,2025-08-05,178.249938965,177.329999651,166.735932922
NVDA,2025-08-06,179.409881592,177.711406163,167.786540731
NVDA,2025-08-07,180.759811401,178.462794713,168.668491109
NVDA,2025-08-08,182.689697266,178.952765329,169.591105652
NVDA,2025-08-11,182.049728394,179.551302229,170.401393127
NVDA,2025-08-12,183.149673462,180.899797712,171.240345764
NVDA,2025-08-13,181.57975769,181.126926967,172.183292135
NVDA,2025-08-14,182.009735107,181.664040702,173.00891215
NVDA,2025-08-15,180.439819336,181.811174665,173.712539164
NVDA,2025-08-18,181.999725342,181.988305228,174.504827372
NVDA,2025-08-19,175.630096436,180.979790824,175.026131185
NVDA,2025-08-20,175.390106201,180.028416225,175.443440755
NVDA,2025-08-21,174.970123291,178.859909058,175.806086222
NVDA,2025-08-22,177.97996521,178.345652989,176.24172821
NVDA,2025-08-25,179.799865723,178.029957363,176.766365051
NVDA,2025-08-26,181.759750366,178.218518938,177.135344442
NVDA,2025-08-27,181.589767456,178.159953526,177.47632548
NVDA,2025-08-28,180.159835815,178.807059152,177.715311686
NVDA,2025-08-29,174.170166016,178.632781982,177.77430776
NVDA,2025-09-02,170.770370483,178.032817296,177.754308573
NVDA,2025-09-03,170.61038208,176.980019706,177.873968506
NVDA,2025-09-04,171.65032959,175.815800258,177.903300476
NVDA,2025-09-05,167.0105896,173.708777291,177.679313151
NVDA,2025-09-08,168.300506592,171.810311454,177.506322734
NVDA,2025-09-09,170.750366211,170.46610151,177.306667074
NVDA,2025-09-10,177.320007324,170.91607884,177.367330933
NVDA,2025-09-11,177.169998169,171.830311366,177.29766744
NVDA,2025-09-12,177.820007324,172.86025783,177.296335347
NVDA,2025-09-15,177.75,173.731639317,177.430995178
NVDA,2025-09-16,174.880004883,174.8558415,177.260666911
NVDA,2025-09-17,170.289993286,175.140053885,176.995335388
NVDA,2025-09-18,176.240005493,175.924288068,176.889672852
NVDA,2025-09-19,176.669998169,175.831429618,176.753345744
NVDA,2025-09-22,183.61000061,176.751429967,176.784022522
NVDA,2025-09-23,178.429992676,176.838570731,176.663364665
NVDA,2025-09-24,176.970001221,176.727142334,176.45737559
NVDA,2025-09-25,177.690002441,177.128570557,176.327717082
NVDA,2025-09-26,178.190002441,178.257143293,176.20039266
NVDA,2025-09-29,181.850006104,179.058571952,176.247398885
NVDA,2025-09-30,186.580001831,180.474286761,176.400074768
NVDA,2025-10-01,187.240005493,180.992858887,176.787071737
NVDA,2025-10-02,188.88999939,182.48714556,177.237068176
NVDA,2025-10-03,187.619995117,184.00857326,177.65873057
NVDA,2025-10-06,185.539993286,185.130000523,177.910731506
NVDA,2025-10-07,185.039993286,186.108570644,178.085402425
NVDA,2025-10-08,189.11000061,187.145712716,178.330410767
NVDA,2025-10-09,192.570007324,188.001427787,178.696418762
NVDA,2025-10-10,183.160003662,187.418570382,178.796424357
NVDA,2025-10-13,188.320007324,187.337142944,179.268085734
NVDA,2025-10-14,180.029998779,186.252857753,179.576740011
NVDA,2025-10-15,179.830001831,185.437144688,179.884060669
NVDA,2025-10-16,181.809997559,184.975716727,180.222716268
NVDA,2025-10-17,183.220001221,184.134288243,180.763029989
NVDA,2025-10-20,182.63999939,182.715715681,181.241013082
NVDA,2025-10-21,181.160003662,182.430001395,181.588000997
NVDA,2025-10-22,180.279998779,181.281428746,181.686667379
NVDA,2025-10-23,182.160003662,181.585715158,181.853000895
NVDA,2025-10-24,186.259994507,182.50428554,182.134333801
NVDA,2025-10-27,191.490005493,183.887143816,182.592333984
NVDA,2025-10-28,201.029998779,186.431429182,183.464000448
NVDA,2025-10-29,207.039993286,189.917142596,184.689000448
NVDA,2025-10-30,202.88999939,193.021427699,185.577333577
NVDA,2025-10-31,202.490005493,196.194285801,186.438000488
NVDA,2025-11-03,206.880004883,199.725714547,187.213667297
NVDA,2025-11-04,198.690002441,201.501429967,187.889000956
NVDA,2025-11-05,195.210006714,202.032858712,188.497001139
NVDA,2025-11-06,188.080001831,200.182859148,188.843334452
NVDA,2025-11-07,188.149993896,197.484287807,189.175334167
NVDA,2025-11-10,199.050003052,196.935716902,189.748667399
NVDA,2025-11-11,193.160003662,195.602859497,189.968000793
NVDA,2025-11-12,193.800003052,193.734287807,190.186667379
NVDA,2025-11-13,186.86000061,192.044287545,190.119000753
NVDA,2025-11-14,190.169998169,191.324286325,190.204000854
